Phi[deg],Theta[deg],dB(DirTotal)
28,4,2.24712
30,4,2.24618
32,4,2.24521
34,4,2.24419
36,4,2.24314
38,4,2.24207
40,4,2.24097
42,4,2.23985
44,4,2.23872
46,4,2.23759
48,4,2.23646
50,4,2.23533
52,4,2.23422
54,4,2.23312
56,4,2.23204
58,4,2.23099
60,4,2.22998
62,4,2.229
64,4,2.22806
66,4,2.22717
68,4,2.22633
70,4,2.22555
72,4,2.22482
74,4,2.22416
76,4,2.22357
78,4,2.22304
80,4,2.22258
82,4,2.2222
84,4,2.22189
86,4,2.22166
88,4,2.22151
90,4,2.22144
92,4,2.22144
94,4,2.22152
96,4,2.22168
98,4,2.22192
100,4,2.22223
102,4,2.22262
104,4,2.22307
106,4,2.2236
108,4,2.2242
110,4,2.22485
112,4,2.22557
114,4,2.22634
116,4,2.22717
118,4,2.22804
120,4,2.22896
122,4,2.22991
124,4,2.2309
126,4,2.23192
128,4,2.23296
130,4,2.23402
132,4,2.23509
134,4,2.23617
136,4,2.23725
138,4,2.23833
140,4,2.2394
142,4,2.24045
144,4,2.24148
146,4,2.24249
148,4,2.24347
150,4,2.24441
152,4,2.24531
154,4,2.24616
156,4,2.24696
158,4,2.24771
160,4,2.24841
162,4,2.24904
164,4,2.2496
166,4,2.2501
168,4,2.25053
170,4,2.25088
172,4,2.25116
174,4,2.25136
176,4,2.25149
178,4,2.25153
180,4,2.2515
-180,6,2.24903
-178,6,2.24883
-176,6,2.24845
-174,6,2.2479
-172,6,2.24717
-170,6,2.24626
-168,6,2.2452
-166,6,2.24396
-164,6,2.24257
-162,6,2.24103
-160,6,2.23935
-158,6,2.23753
-156,6,2.23558
-154,6,2.23352
-152,6,2.23134
-150,6,2.22907
-148,6,2.22671
-146,6,2.22428
-144,6,2.22178
-142,6,2.21922
-140,6,2.21663
-138,6,2.21401
-136,6,2.21137
-134,6,2.20873
-132,6,2.2061
-130,6,2.2035
-128,6,2.20092
-126,6,2.1984
-124,6,2.19593
-122,6,2.19354
-120,6,2.19123
-118,6,2.18901
-116,6,2.1869
-114,6,2.18491
-112,6,2.18304
-110,6,2.18131
-108,6,2.17972
-106,6,2.17828
-104,6,2.177
-102,6,2.17588
-100,6,2.17493
-98,6,2.17416
-96,6,2.17357
-94,6,2.17316
-92,6,2.17294
-90,6,2.17289
-88,6,2.17304
-86,6,2.17337
-84,6,2.17389
-82,6,2.17458
-80,6,2.17546
-78,6,2.17651
-76,6,2.17773
-74,6,2.17911
-72,6,2.18065
-70,6,2.18234
-68,6,2.18417
-66,6,2.18614
-64,6,2.18823
-62,6,2.19043
-60,6,2.19274
-58,6,2.19514
-56,6,2.19762
-54,6,2.20018
-52,6,2.20279
-50,6,2.20544
-48,6,2.20813
-46,6,2.21084
-44,6,2.21355
-42,6,2.21626
-40,6,2.21895
-38,6,2.22161
-36,6,2.22423
-34,6,2.22679
-32,6,2.22928
-30,6,2.2317
-28,6,2.23402
-26,6,2.23624
-24,6,2.23835
-22,6,2.24034
-20,6,2.2422
-18,6,2.24392
-16,6,2.24549
-14,6,2.2469
-12,6,2.24816
-10,6,2.24925
-8,6,2.25017
-6,6,2.25091
-4,6,2.25147
-2,6,2.25185
0,6,2.25205
2,6,2.25207
4,6,2.25191
6,6,2.25156
8,6,2.25103
10,6,2.25033
12,6,2.24946
14,6,2.24841
16,6,2.24721
18,6,2.24584
20,6,2.24433
22,6,2.24267
24,6,2.24088
26,6,2.23897
28,6,2.23694
30,6,2.2348
32,6,2.23257
34,6,2.23025
36,6,2.22787
38,6,2.22542
40,6,2.22292
42,6,2.22039
44,6,2.21783
46,6,2.21527
48,6,2.2127
50,6,2.21015
52,6,2.20763
54,6,2.20514
56,6,2.20271
58,6,2.20034
60,6,2.19804
62,6,2.19583
64,6,2.19372
66,6,2.19172
68,6,2.18983
70,6,2.18807
72,6,2.18645
74,6,2.18497
76,6,2.18364
78,6,2.18247
80,6,2.18146
82,6,2.18062
84,6,2.17995
86,6,2.17945
88,6,2.17913
90,6,2.179
92,6,2.17903
94,6,2.17925
96,6,2.17965
98,6,2.18022
100,6,2.18096
102,6,2.18187
104,6,2.18294
106,6,2.18417
108,6,2.18556
110,6,2.18708
112,6,2.18875
114,6,2.19054
116,6,2.19245
118,6,2.19447
120,6,2.19659
122,6,2.19879
124,6,2.20108
126,6,2.20342
128,6,2.20582
130,6,2.20827
132,6,2.21074
134,6,2.21323
136,6,2.21572
138,6,2.2182
140,6,2.22066
142,6,2.22309
144,6,2.22547
146,6,2.2278
148,6,2.23005
150,6,2.23223
152,6,2.23431
154,6,2.23629
156,6,2.23816
158,6,2.2399
160,6,2.24152
162,6,2.24299
164,6,2.24432
166,6,2.2455
168,6,2.24652
170,6,2.24737
172,6,2.24805
174,6,2.24856
176,6,2.2489
178,6,2.24906
180,6,2.24903
-180,8,2.24586
-178,8,2.24555
-176,8,2.24492
-174,8,2.24398
-172,8,2.24273
-170,8,2.24117
-168,8,2.23931
-166,8,2.23717
-164,8,2.23474
-162,8,2.23205
-160,8,2.2291
-158,8,2.2259
-156,8,2.22248
-154,8,2.21885
-152,8,2.21502
-150,8,2.21102
-148,8,2.20686
-146,8,2.20256
