Phi[deg],Theta[deg],rETotal[mV]
-138,6,9052.48
-136,6,9049.73
-134,6,9046.98
-132,6,9044.24
-130,6,9041.53
-128,6,9038.85
-126,6,9036.22
-124,6,9033.66
-122,6,9031.17
-120,6,9028.77
-118,6,9026.47
-116,6,9024.27
-114,6,9022.2
-112,6,9020.26
-110,6,9018.46
-108,6,9016.81
-106,6,9015.32
-104,6,9013.99
-102,6,9012.83
-100,6,9011.85
-98,6,9011.05
-96,6,9010.43
-94,6,9010.01
-92,6,9009.77
-90,6,9009.73
-88,6,9009.88
-86,6,9010.22
-84,6,9010.76
-82,6,9011.48
-80,6,9012.39
-78,6,9013.48
-76,6,9014.74
-74,6,9016.18
-72,6,9017.78
-70,6,9019.53
-68,6,9021.44
-66,6,9023.48
-64,6,9025.65
-62,6,9027.94
-60,6,9030.34
-58,6,9032.84
-56,6,9035.42
-54,6,9038.07
-52,6,9040.79
-50,6,9043.55
-48,6,9046.35
-46,6,9049.17
-44,6,9052
-42,6,9054.83
-40,6,9057.63
-38,6,9060.41
-36,6,9063.14
-34,6,9065.81
-32,6,9068.41
-30,6,9070.93
-28,6,9073.36
-26,6,9075.68
-24,6,9077.88
-22,6,9079.96
-20,6,9081.9
-18,6,9083.7
-16,6,9085.34
-14,6,9086.83
-12,6,9088.14
-10,6,9089.28
-8,6,9090.24
-6,6,9091.02
-4,6,9091.61
-2,6,9092.01
0,6,9092.22
2,6,9092.24
4,6,9092.06
6,6,9091.7
8,6,9091.15
10,6,9090.41
12,6,9089.5
14,6,9088.41
16,6,9087.14
18,6,9085.72
20,6,9084.13
22,6,9082.4
24,6,9080.53
26,6,9078.53
28,6,9076.41
30,6,9074.17
32,6,9071.84
34,6,9069.43
36,6,9066.93
38,6,9064.38
40,6,9061.77
42,6,9059.13
44,6,9056.47
46,6,9053.79
48,6,9051.12
50,6,9048.46
52,6,9045.83
54,6,9043.24
56,6,9040.71
58,6,9038.24
60,6,9035.85
62,6,9033.56
64,6,9031.36
