Phi[deg],Theta[deg],rETotal[mV]
84,8,4732.03
86,8,4723.6
88,8,4718.51
90,8,4716.79
92,8,4718.45
94,8,4723.47
96,8,4731.84
98,8,4743.52
100,8,4758.46
102,8,4776.6
104,8,4797.86
106,8,4822.15
108,8,4849.37
110,8,4879.4
112,8,4912.11
114,8,4947.35
116,8,4984.98
118,8,5024.82
120,8,5066.69
122,8,5110.41
124,8,5155.77
126,8,5202.56
128,8,5250.57
130,8,5299.57
132,8,5349.32
134,8,5399.59
136,8,5450.13
138,8,5500.7
140,8,5551.04
142,8,5600.9
144,8,5650.03
146,8,5698.19
148,8,5745.13
150,8,5790.61
152,8,5834.39
154,8,5876.24
156,8,5915.95
158,8,5953.31
160,8,5988.11
162,8,6020.18
164,8,6049.34
166,8,6075.44
168,8,6098.34
170,8,6117.91
172,8,6134.04
174,8,6146.66
176,8,6155.68
178,8,6161.07
180,8,6162.79
-180,10,6160.26
-178,10,6157.22
-176,10,6148.49
-174,10,6134.09
-172,10,6114.13
-170,10,6088.71
-168,10,6057.98
-166,10,6022.11
-164,10,5981.3
-162,10,5935.8
-160,10,5885.85
-158,10,5831.73
-156,10,5773.74
-154,10,5712.21
-152,10,5647.48
-150,10,5579.88
-148,10,5509.8
-146,10,5437.6
-144,10,5363.67
-142,10,5288.39
-140,10,5212.16
-138,10,5135.36
-136,10,5058.39
-134,10,4981.63
-132,10,4905.45
-130,10,4830.23
-128,10,4756.32
-126,10,4684.08
-124,10,4613.84
-122,10,4545.91
-120,10,4480.61
-118,10,4418.21
-116,10,4358.99
-114,10,4303.19
-112,10,4251.04
-110,10,4202.76
-108,10,4158.53
-106,10,4118.53
-104,10,4082.91
-102,10,4051.8
-100,10,4025.32
-98,10,4003.56
-96,10,3986.6
-94,10,3974.49
-92,10,3967.29
-90,10,3965.02
-88,10,3967.68
-86,10,3975.27
-84,10,3987.76
-82,10,4005.11
-80,10,4027.26
-78,10,4054.12
-76,10,4085.62
-74,10,4121.62
-72,10,4162
-70,10,4206.6
-68,10,4255.25
-66,10,4307.77
-64,10,4363.94
-62,10,4423.52
-60,10,4486.27
-58,10,4551.92
-56,10,4620.19
-54,10,4690.76
-52,10,4763.33
-50,10,4837.54
-48,10,4913.07
-46,10,4989.53
-44,10,5066.57
-42,10,5143.8
-40,10,5220.84
-38,10,5297.29
-36,10,5372.78
-34,10,5446.89
-32,10,5519.26
-30,10,5589.48
-28,10,5657.2
-26,10,5722.03
-24,10,5783.63
-22,10,5841.66
-20,10,5895.81
-18,10,5945.75
-16,10,5991.23
-14,10,6031.98
-12,10,6067.77
-10,10,6098.39
-8,10,6123.68
-6,10,6143.49
-4,10,6157.7
-2,10,6166.24
0,10,6169.05
2,10,6166.13
4,10,6157.47
6,10,6143.15
8,10,6123.23
10,10,6097.83
12,10,6067.11
14,10,6031.22
16,10,5990.39
18,10,5944.83
20,10,5894.81
22,10,5840.61
24,10,5782.53
26,10,5720.89
28,10,5656.03
30,10,5588.3
32,10,5518.06
34,10,5445.71
36,10,5371.61
38,10,5296.16
40,10,5219.74
42,10,5142.76
44,10,5065.6
46,10,4988.64
48,10,4912.27
50,10,4836.85
52,10,4762.74
54,10,4690.3
56,10,4619.86
58,10,4551.74
60,10,4486.24
62,10,4423.65
64,10,4364.23
66,10,4308.24
68,10,4255.9
70,10,4207.43
72,10,4163.02
74,10,4122.83
76,10,4087.02
78,10,4055.73
80,10,4029.06
82,10,4007.11
84,10,3989.95
86,10,3977.66
88,10,3970.26
90,10,3967.79
92,10,3970.24
94,10,3977.62
96,10,3989.9
98,10,4007.03
100,10,4028.95
102,10,4055.59
104,10,4086.85
106,10,4122.61
108,10,4162.74
110,10,4207.1
112,10,4255.49
114,10,4307.75
116,10,4363.64
118,10,4422.96
120,10,4485.43
122,10,4550.8
124,10,4618.78
126,10,4689.06
128,10,4761.32
130,10,4835.24
132,10,4910.46
134,10,4986.62
136,10,5063.35
138,10,5140.27
140,10,5217
142,10,5293.14
144,10,5368.31
146,10,5442.12
148,10,5514.18
150,10,5584.1
152,10,5651.51
154,10,5716.05
156,10,5777.37
158,10,5835.12
160,10,5888.99
162,10,5938.67
164,10,5983.9
166,10,6024.41
168,10,6059.98
170,10,6090.39
