Variation, Phi(rad), Theta(rad), rEphi(mag ang),rEtheta(mag ang)
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.500983156715124e+00,0.000000000000000e+00,9.426159975101037e-02 2.734832723451125e+00,1.981952281445571e-02 2.071096057404157e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.466076571675237e+00,0.000000000000000e+00,9.366030518589354e-02 2.739382441384322e+00,2.249021797799569e-02 2.161331263889284e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.431169986635350e+00,0.000000000000000e+00,9.294686497169148e-02 2.743996515598486e+00,2.527732114261033e-02 2.232046118605791e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.396263401595464e+00,0.000000000000000e+00,9.212219396082680e-02 2.748687628913328e+00,2.813474812498298e-02 2.288556787266609e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.361356816555577e+00,0.000000000000000e+00,9.118735141665696e-02 2.753469260700840e+00,3.103110719629020e-02 2.334581001150628e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.326450231515691e+00,0.000000000000000e+00,9.014354052589130e-02 2.758355850276846e+00,3.394414196396127e-02 2.372724151224769e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.291543646475804e+00,0.000000000000000e+00,8.899210790954211e-02 2.763362982481427e+00,3.685739277308044e-02 2.404835499588415e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.256637061435917e+00,0.000000000000000e+00,8.773454316344505e-02 2.768507600707302e+00,3.975817661958752e-02 2.432249769188877e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.221730476396031e+00,0.000000000000000e+00,8.637247846734188e-02 2.773808253794931e+00,4.263634172418202e-02 2.455947546039822e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.186823891356144e+00,0.000000000000000e+00,8.490768831147873e-02 2.779285384709517e+00,4.548348203263971e-02 2.476661870191491e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.151917306316258e+00,0.000000000000000e+00,8.334208940239561e-02 2.784961670851508e+00,4.829243011338036e-02 2.494949810369103e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.117010721276371e+00,0.000000000000000e+00,8.167774082597520e-02 2.790862428369821e+00,5.105692240800877e-02 2.511241227636157e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.082104136236484e+00,0.000000000000000e+00,7.991684456707100e-02 2.797016096137601e+00,5.377137367275609e-02 2.525872533192613e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.047197551196598e+00,0.000000000000000e+00,7.806174651299178e-02 2.803454819381850e+00,5.643072216048733e-02 2.539110439230011e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.012290966156711e+00,0.000000000000000e+00,7.611493810510843e-02 2.810215158700115e+00,5.903032161074615e-02 2.551168934478250e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-9.773843811168246e-01,0.000000000000000e+00,7.407905885240576e-02 2.817338957871223e+00,6.156586482584697e-02 2.562221600766308e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-9.424777960769379e-01,0.000000000000000e+00,7.195689998769149e-02 2.824874414212875e+00,6.403332894964965e-02 2.572410676698766e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-9.075712110370514e-01,0.000000000000000e+00,6.975140963868816e-02 2.832877409315089e+00,6.642893590618931e-02 2.581853816678750e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-8.726646259971648e-01,0.000000000000000e+00,6.746570001250465e-02 2.841413177324220e+00,6.874912358739879e-02 2.590649194226387e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-8.377580409572782e-01,0.000000000000000e+00,6.510305726852952e-02 2.850558414818162e+00,7.099052476565604e-02 2.598879400106689e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-8.028514559173916e-01,0.000000000000000e+00,6.266695500456633e-02 2.860403974043122e+00,7.314995162451118e-02 2.606614452326891e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-7.679448708775050e-01,0.000000000000000e+00,6.016107263913033e-02 2.871058334898571e+00,7.522438441836450e-02 2.613914144061215e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-7.330382858376184e-01,0.000000000000000e+00,5.758932049347495e-02 2.882652128199889e+00,7.721096319378717e-02 2.620829892672825e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-6.981317007977318e-01,0.000000000000000e+00,5.495587414541084e-02 2.895344095204508e+00,7.910698179760310e-02 2.627406208987733e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-6.632251157578453e-01,0.000000000000000e+00,5.226522177943929e-02 2.909329034569281e+00,8.090988360242973e-02 2.633681874794387e+00
