Phi[deg],Theta[deg],rETotal[mV]
96,4,5694.74
98,4,5695.79
100,4,5697.13
102,4,5698.76
104,4,5700.67
106,4,5702.84
108,4,5705.28
110,4,5707.96
112,4,5710.88
114,4,5714.02
116,4,5717.37
118,4,5720.9
120,4,5724.6
122,4,5728.46
124,4,5732.46
126,4,5736.57
128,4,5740.77
130,4,5745.06
132,4,5749.39
134,4,5753.76
136,4,5758.14
138,4,5762.52
140,4,5766.86
142,4,5771.15
144,4,5775.36
146,4,5779.48
148,4,5783.49
150,4,5787.37
152,4,5791.09
154,4,5794.63
156,4,5797.99
158,4,5801.15
160,4,5804.08
162,4,5806.77
164,4,5809.22
166,4,5811.4
168,4,5813.31
170,4,5814.94
172,4,5816.28
174,4,5817.32
176,4,5818.05
178,4,5818.48
180,4,5818.61
-180,6,5817.01
-178,6,5816.62
-176,6,5815.54
-174,6,5813.77
-172,6,5811.32
-170,6,5808.2
-168,6,5804.43
-166,6,5800.03
-164,6,5795.01
-162,6,5789.41
-160,6,5783.26
-158,6,5776.57
-156,6,5769.39
-154,6,5761.75
-152,6,5753.69
-150,6,5745.25
-148,6,5736.47
-146,6,5727.4
-144,6,5718.07
-142,6,5708.54
-140,6,5698.85
-138,6,5689.05
-136,6,5679.18
-134,6,5669.3
-132,6,5659.45
-130,6,5649.68
-128,6,5640.04
-126,6,5630.58
-124,6,5621.33
-122,6,5612.35
-120,6,5603.67
-118,6,5595.34
-116,6,5587.4
-114,6,5579.89
-112,6,5572.83
-110,6,5566.27
-108,6,5560.24
-106,6,5554.75
-104,6,5549.85
-102,6,5545.55
-100,6,5541.88
-98,6,5538.84
-96,6,5536.46
-94,6,5534.74
-92,6,5533.7
-90,6,5533.33
-88,6,5533.65
-86,6,5534.64
-84,6,5536.31
-82,6,5538.64
-80,6,5541.63
-78,6,5545.26
-76,6,5549.51
-74,6,5554.37
-72,6,5559.81
-70,6,5565.8
-68,6,5572.33
-66,6,5579.35
-64,6,5586.83
-62,6,5594.74
-60,6,5603.04
-58,6,5611.69
-56,6,5620.65
-54,6,5629.88
-52,6,5639.33
-50,6,5648.96
-48,6,5658.72
-46,6,5668.56
-44,6,5678.44
-42,6,5688.3
-40,6,5698.11
-38,6,5707.81
-36,6,5717.35
-34,6,5726.69
-32,6,5735.78
-30,6,5744.58
-28,6,5753.04
-26,6,5761.13
-24,6,5768.79
-22,6,5776
-20,6,5782.72
-18,6,5788.91
-16,6,5794.55
-14,6,5799.6
-12,6,5804.04
-10,6,5807.86
-8,6,5811.01
-6,6,5813.51
-4,6,5815.32
-2,6,5816.45
0,6,5816.88
2,6,5816.62
4,6,5815.67
6,6,5814.02
8,6,5811.7
10,6,5808.71
12,6,5805.06
14,6,5800.78
16,6,5795.89
18,6,5790.41
20,6,5784.38
22,6,5777.81
24,6,5770.75
26,6,5763.22
28,6,5755.28
30,6,5746.95
32,6,5738.28
34,6,5729.31
36,6,5720.09
38,6,5710.66
40,6,5701.07
42,6,5691.37
44,6,5681.59
46,6,5671.81
48,6,5662.05
50,6,5652.36
52,6,5642.81
54,6,5633.42
56,6,5624.25
58,6,5615.34
60,6,5606.73
62,6,5598.47
64,6,5590.59
66,6,5583.13
68,6,5576.13
70,6,5569.62
72,6,5563.63
74,6,5558.2
76,6,5553.33
78,6,5549.07
80,6,5545.42
82,6,5542.41
84,6,5540.05
86,6,5538.36
88,6,5537.33
90,6,5536.97
92,6,5537.29
94,6,5538.28
96,6,5539.95
98,6,5542.27
100,6,5545.25
102,6,5548.86
104,6,5553.09
106,6,5557.92
108,6,5563.33
110,6,5569.29
112,6,5575.77
114,6,5582.75
116,6,5590.18
118,6,5598.04
120,6,5606.28
122,6,5614.87
124,6,5623.77
126,6,5632.93
128,6,5642.31
130,6,5651.86
132,6,5661.54
134,6,5671.29
136,6,5681.09
138,6,5690.86
140,6,5700.57
142,6,5710.17
144,6,5719.61
146,6,5728.85
148,6,5737.84
150,6,5746.53
152,6,5754.88
154,6,5762.85
156,6,5770.4
158,6,5777.5
160,6,5784.1
162,6,5790.17
164,6,5795.68
166,6,5800.61
168,6,5804.93
170,6,5808.61
172,6,5811.65
174,6,5814.02
176,6,5815.7
178,6,5816.7
180,6,5817.01
-180,8,5814.82
-178,8,5814.16
-176,8,5812.27
-174,8,5809.16
-172,8,5804.85
-170,8,5799.36
-168,8,5792.72
-166,8,5784.95
-164,8,5776.11
-162,8,5766.23
-160,8,5755.37
-158,8,5743.58
-156,8,5730.92
-154,8,5717.46
-152,8,5703.26
-150,8,5688.4
-148,8,5672.95
-146,8,5656.99
-144,8,5640.59
-142,8,5623.84
-140,8,5606.83
-138,8,5589.63
-136,8,5572.32
-134,8,5555.01
-132,8,5537.76
-130,8,5520.66
-128,8,5503.8
-126,8,5487.25
-124,8,5471.1
-122,8,5455.42
-120,8,5440.28
-118,8,5425.76
-116,8,5411.92
-114,8,5398.83
-112,8,5386.55
-110,8,5375.13
-108,8,5364.63
-106,8,5355.1
-104,8,5346.59
-102,8,5339.12
-100,8,5332.73
-98,8,5327.46
-96,8,5323.32
-94,8,5320.34
-92,8,5318.53
-90,8,5317.9
-88,8,5318.44
-86,8,5320.17
-84,8,5323.06
-82,8,5327.11
-80,8,5332.3
-78,8,5338.6
-76,8,5345.99
-74,8,5354.43
-72,8,5363.89
-70,8,5374.31
-68,8,5385.66
-66,8,5397.88
-64,8,5410.91
-62,8,5424.69
-60,8,5439.17
-58,8,5454.26
-56,8,5469.9
-54,8,5486.02
-52,8,5502.54
-50,8,5519.38
-48,8,5536.46
-46,8,5553.7
-44,8,5571.01
-42,8,5588.31
-40,8,5605.52
-38,8,5622.55
-36,8,5639.31
-34,8,5655.73
-32,8,5671.72
-30,8,5687.21
-28,8,5702.11
-26,8,5716.35
-24,8,5729.86
-22,8,5742.57
-20,8,5754.42
-18,8,5765.34
-16,8,5775.28
-14,8,5784.19
-12,8,5792.03
-10,8,5798.74
-8,8,5804.31
-6,8,5808.69
-4,8,5811.88
-2,8,5813.84
0,8,5814.58
2,8,5814.09
4,8,5812.36
6,8,5809.42
8,8,5805.27
10,8,5799.94
12,8,5793.46
14,8,5785.85
16,8,5777.17
18,8,5767.45
20,8,5756.74
22,8,5745.1
24,8,5732.6
26,8,5719.28
28,8,5705.23
30,8,5690.51
32,8,5675.2
34,8,5659.38
36,8,5643.12
38,8,5626.5
40,8,5609.61
